epoch,train_loss,train_ce,train_lb,train_acc,val_loss,val_ce,val_lb,val_acc,lr
1,1.2461815186909266,1.2461815186909266,1.0537870611463274,0.5535714285714286,1.1263095378875732,1.1263095378875732,1.031868577003479,0.875,0.001
2,0.8984094636780875,0.8984094636780875,1.0081820164408002,0.9410714285714286,0.7952941179275512,0.7952941179275512,0.9940859794616699,0.9625,0.001
3,0.61582744206701,0.61582744206701,0.9943657279014587,0.9589285714285715,0.471320652961731,0.471320652961731,0.9937421321868897,0.9875,0.001
4,0.3774467945098877,0.3774467945098877,0.9909704872540065,0.975,0.24836454689502716,0.24836454689502716,0.9909146070480347,1.0,0.001
5,0.19508499332836696,0.19508499332836696,0.9914786423955645,0.9910714285714286,0.11371206641197204,0.11371206641197204,0.9992117881774902,1.0,0.001
6,0.10134115666151047,0.10134115666151047,0.9970329625265939,0.9875,0.053372108936309816,0.053372108936309816,1.009425401687622,1.0,0.001
7,0.05431491514401776,0.05431491514401776,1.004983866214752,0.9928571428571429,0.031618638336658476,0.031618638336658476,1.015043306350708,1.0,0.001
8,0.035323216313762326,0.035323216313762326,1.0078592777252198,0.9946428571428572,0.022156860679388046,0.022156860679388046,1.0201730251312255,1.0,0.001
9,0.03424962099109377,0.03424962099109377,1.0091702325003489,0.9910714285714286,0.01714925691485405,0.01714925691485405,1.0144496440887452,1.0,0.001
10,0.024784017354249954,0.024784017354249954,1.0121263640267508,0.9928571428571429,0.01435851827263832,0.01435851827263832,1.0166628122329713,1.0,0.001
11,0.020916115226490156,0.020916115226490156,1.012876888683864,0.9928571428571429,0.012547870352864265,0.012547870352864265,1.0211812019348145,1.0,0.001
12,0.021715019962617328,0.021715019962617328,1.0104527235031129,0.9964285714285714,0.011179838702082634,0.011179838702082634,1.0176740407943725,1.0,0.001
13,0.017750436972294534,0.017750436972294534,1.0056163685662405,0.9946428571428572,0.00950973816215992,0.00950973816215992,1.0158611536026,1.0,0.001
14,0.015374293577458177,0.015374293577458177,1.0113573959895543,0.9964285714285714,0.009251299500465392,0.009251299500465392,1.0190704822540284,1.0,0.001
15,0.020560701697000434,0.020560701697000434,1.012444864000593,0.9964285714285714,0.0075976639986038205,0.0075976639986038205,1.0202861785888673,1.0,0.001
16,0.010302973046366657,0.010302973046366657,1.0108476230076382,0.9964285714285714,0.00710651557892561,0.00710651557892561,1.0225109815597535,1.0,0.001
17,0.017648170589070235,0.017648170589070235,1.0080026013510568,0.9946428571428572,0.006269534863531589,0.006269534863531589,1.016901683807373,1.0,0.001
18,0.016614666700895342,0.016614666700895342,1.0045358742986406,0.9946428571428572,0.006267724931240082,0.006267724931240082,1.0116568565368653,1.0,0.001
19,0.013087068045777934,0.013087068045777934,1.0081813369478498,0.9946428571428572,0.009276781417429446,0.009276781417429446,1.01076979637146,1.0,0.001
20,0.009804817209286349,0.009804817209286349,1.0041157109396799,0.9982142857142857,0.006917874701321125,0.006917874701321125,1.0080641269683839,1.0,0.001
21,0.02410066851547786,0.02410066851547786,1.0017601592200143,0.9875,0.00556590873748064,0.00556590873748064,1.0061533451080322,1.0,0.001
22,0.004846148851460644,0.004846148851460644,1.00583085332598,1.0,0.00547636691480875,0.00547636691480875,1.012786602973938,1.0,0.001
23,0.009724096288638455,0.009724096288638455,1.0061672346932546,1.0,0.005298064649105072,0.005298064649105072,1.0142653942108155,1.0,0.001
24,0.02130438121301787,0.02130438121301787,1.0111507960728237,0.9964285714285714,0.0039013462141156197,0.0039013462141156197,1.0130844354629516,1.0,0.001
25,0.01293883105473859,0.01293883105473859,1.0125728981835502,0.9946428571428572,0.005978802777826786,0.005978802777826786,1.0200904130935669,1.0,0.001
26,0.014241319312714041,0.014241319312714041,1.0123668466295515,0.9946428571428572,0.005678129568696022,0.005678129568696022,1.0226606369018554,1.0,0.001
27,0.005313940602354706,0.005313940602354706,1.0121127656527928,0.9982142857142857,0.0059961297549307345,0.0059961297549307345,1.023442268371582,1.0,0.001
28,0.01109947900154761,0.01109947900154761,1.0108451911381313,0.9946428571428572,0.00480982381850481,0.00480982381850481,1.0208170413970947,1.0,0.001
29,0.021495221701583692,0.021495221701583692,1.0190866674695696,0.9892857142857143,0.0038195437751710414,0.0038195437751710414,1.0239728927612304,1.0,0.001
30,0.005462794424965977,0.005462794424965977,1.0130360960960387,0.9982142857142857,0.003140299580991268,0.003140299580991268,1.0198540687561035,1.0,0.001
31,0.008756290249792593,0.008756290249792593,1.015064767428807,0.9982142857142857,0.0028077620081603527,0.0028077620081603527,1.0157002925872802,1.0,0.001
32,0.006533702429650085,0.006533702429650085,1.0224661316190446,0.9964285714285714,0.0028430995531380176,0.0028430995531380176,1.02446608543396,1.0,0.001
33,0.017195576542456237,0.017195576542456237,1.0217629637037005,0.9910714285714286,0.003195286076515913,0.003195286076515913,1.0280843019485473,1.0,0.001
34,0.0054774324210094556,0.0054774324210094556,1.0177523732185363,0.9982142857142857,0.003453519195318222,0.003453519195318222,1.0264903068542481,1.0,0.001
35,0.006691830371606297,0.006691830371606297,1.0229194641113282,0.9964285714285714,0.002680957317352295,0.002680957317352295,1.0211798191070556,1.0,0.001
36,0.01096431387704797,0.01096431387704797,1.0158855284963335,0.9964285714285714,0.002555824629962444,0.002555824629962444,1.0230298519134522,1.0,0.001
37,0.003801672499892967,0.003801672499892967,1.0202154534203665,1.0,0.0025674628093838693,0.0025674628093838693,1.0236383438110352,1.0,0.001
38,0.0070308976041685255,0.0070308976041685255,1.0122289385114398,0.9982142857142857,0.002130647003650665,0.002130647003650665,1.0228061437606812,1.0,0.001
39,0.008522806168600384,0.008522806168600384,1.0182522569383894,0.9964285714285714,0.0032224674709141255,0.0032224674709141255,1.0209267377853393,1.0,0.001
40,0.015286838072019497,0.015286838072019497,1.0124905177525112,0.9928571428571429,0.0023911634460091593,0.0023911634460091593,1.01858491897583,1.0,0.001
41,0.004805152367667428,0.004805152367667428,1.0137362020356315,1.0,0.003543876716867089,0.003543876716867089,1.0193589210510254,1.0,0.001
42,0.004738814107674573,0.004738814107674573,1.0124740294047765,1.0,0.003949952311813831,0.003949952311813831,1.019942045211792,1.0,0.001
43,0.016350393141952475,0.016350393141952475,1.0128737381526403,0.9946428571428572,0.0032375022768974305,0.0032375022768974305,1.0215192794799806,1.0,0.001
44,0.0035467101161235147,0.0035467101161235147,1.0249985592705864,1.0,0.006877995142713189,0.006877995142713189,1.030027651786804,1.0,0.0005
45,0.011670678913859384,0.011670678913859384,1.0260718209402901,0.9964285714285714,0.004622615594416857,0.004622615594416857,1.0252290487289428,1.0,0.0005
46,0.01172695846429893,0.01172695846429893,1.0286495958055768,0.9946428571428572,0.003947757603600621,0.003947757603600621,1.0270176172256469,1.0,0.0005
47,0.0032383004536053962,0.0032383004536053962,1.02666369165693,1.0,0.002337631257250905,0.002337631257250905,1.0261023759841919,1.0,0.0005
48,0.007924563742043185,0.007924563742043185,1.0248014552252633,0.9982142857142857,0.00258594062179327,0.00258594062179327,1.0239962100982667,1.0,0.0005
49,0.0018682138245951917,0.0018682138245951917,1.0214350972856794,1.0,0.001847771182656288,0.001847771182656288,1.0248358249664307,1.0,0.0005
50,0.014087166204782469,0.014087166204782469,1.0157759462084088,0.9964285714285714,0.0018828150816261769,0.0018828150816261769,1.0252657890319825,1.0,0.0005
51,0.0019817477125408395,0.0019817477125408395,1.0168413639068603,1.0,0.0019082418642938138,0.0019082418642938138,1.0274320840835571,1.0,0.0005
52,0.004478487372814146,0.004478487372814146,1.0212851422173637,0.9982142857142857,0.001770261861383915,0.001770261861383915,1.0238587856292725,1.0,0.0005
53,0.0034203765697644224,0.0034203765697644224,1.0163088151386805,1.0,0.0016420258674770595,0.0016420258674770595,1.02207510471344,1.0,0.0005
54,0.00698144654909681,0.00698144654909681,1.0169050455093385,0.9982142857142857,0.0014650799799710511,0.0014650799799710511,1.0249738216400146,1.0,0.0005
55,0.005009961730268385,0.005009961730268385,1.0163160358156478,0.9982142857142857,0.0015372869558632374,0.0015372869558632374,1.0242043495178224,1.0,0.0005
56,0.005859401409647295,0.005859401409647295,1.0175270880971636,0.9982142857142857,0.0014035329688340426,0.0014035329688340426,1.02376708984375,1.0,0.0005
57,0.012876729653882129,0.012876729653882129,1.012976200239999,0.9982142857142857,0.0014331132173538209,0.0014331132173538209,1.0232386827468871,1.0,0.0005
58,0.007858808238857559,0.007858808238857559,1.0158796889441355,0.9982142857142857,0.0015520893037319183,0.0015520893037319183,1.025338077545166,1.0,0.0005
